policy,avg_reward,std_reward,avg_waiting_time,avg_queue_length
Random,2.7755575615628914e-17,0.0,34.84027777777778,2.8513888888888888
Fixed-Time (30s),-0.7000000000000008,0.0,91.20694444444445,4.508333333333334
