policy,avg_reward,std_reward,avg_waiting_time,avg_queue_length
Random,-0.21999999999999986,0.0,44.329166666666666,2.9833333333333334
Fixed-Time (30s),-0.8999999999999987,0.0,73.24444444444444,4.147222222222222
